opportunity_id,account_id,rep_id,opportunity_name,stage,product_id,amount,probability,expected_revenue,close_date,created_date,last_modified_date,days_in_stage,previous_stage,lead_source
OPP-3000,ACC-2015,REP-1000,Customizable eco-centric function - Dark Fiber,Closed Won,PROD-002,71936.72,100,71936.72,2026-01-20 15:20:26.000000,2025-11-11 15:20:26,2025-11-11 15:22:33.806142,52,Negotiation,Cold Call
OPP-3001,ACC-2064,REP-1005,Realigned transitional instruction set - Cloud Connect,Qualification,PROD-004,18169.06,25,4542.27,2026-02-03 15:22:33.806400,2025-11-11 15:21:04,2025-11-11 15:22:33.806827,31,Prospecting,Trade Show
OPP-3002,ACC-2078,REP-1000,Re-engineered zero-defect adapter - Ethernet,Negotiation,PROD-003,15050.67,75,11288.0,2026-01-01 15:22:33.807055,2025-11-11 15:17:18,2025-11-11 15:22:33.807436,43,Proposal,Cold Call
OPP-3003,ACC-2063,REP-1004,Distributed multimedia implementation - Managed Services,Proposal,PROD-005,20010.29,50,10005.15,2026-01-11 15:22:33.807627,2025-11-11 15:17:34,2025-11-11 15:22:33.808009,44,Qualification,Partner
OPP-3004,ACC-2023,REP-1004,Future-proofed demand-driven process improvement - Cloud Connect,Prospecting,PROD-004,21146.58,10,2114.66,2026-01-17 15:22:33.808186,2025-11-11 15:18:46,2025-11-11 15:22:33.808566,27,,Partner
OPP-3005,ACC-2019,REP-1006,Cloned reciprocal hub - Fiber Internet,Qualification,PROD-001,13067.77,25,3266.94,2025-12-28 15:22:33.808738,2025-11-11 15:17:19,2025-11-11 15:22:33.809094,29,Prospecting,Website
OPP-3006,ACC-2090,REP-1007,Realigned well-modulated migration - Ethernet,Closed Won,PROD-003,5990.31,100,5990.31,2026-01-13 15:16:55.000000,2025-11-11 15:16:55,2025-11-11 15:22:33.809600,30,Negotiation,Referral
OPP-3007,ACC-2041,REP-1003,Down-sized optimal throughput - Cloud Connect,Qualification,PROD-004,9009.32,25,2252.33,2026-01-23 15:22:33.809767,2025-11-11 15:22:14,2025-11-11 15:22:33.810102,15,Prospecting,Website
OPP-3008,ACC-2018,REP-1003,Horizontal fault-tolerant hub - Cloud Connect,Negotiation,PROD-004,41724.71,75,31293.53,2025-12-09 15:22:33.810279,2025-11-11 15:21:39,2025-11-11 15:22:33.810606,51,Proposal,Referral
OPP-3009,ACC-2060,REP-1001,Optimized global neural-net - Cloud Connect,Qualification,PROD-004,21633.97,25,5408.49,2026-01-21 15:22:33.810770,2025-11-11 15:21:22,2025-11-11 15:22:33.811104,10,Prospecting,Partner
